NO,식품명,식품대분류,식품상세분류,1회제공량,에너지(㎉),단백질(g),지방(g),탄수화물(g),총당류(g),나트륨(㎎)
273,고구마튀김,튀김류,채소류튀김,100,252.96,2.72,11.87,33.8,7.72,148.41
274,고추튀김,튀김류,채소류튀김,100,202,7.6,12.6,14.6,2.3,249.15
275,닭튀김,튀김류,육류튀김,300,903,65.2,49.7,48.8,1.5,1244.48
276,등심돈가스,튀김류,육류튀김,200,623.83,32.99,37.54,38.49,3.66,574.08
277,모래집튀김,튀김류,육류튀김,150,468.37,28.1,26.6,29.1,1.8,322.44
278,미꾸라지튀김,튀김류,어패류튀김,100,387.49,10.89,25.39,28.85,0.3,324.47
279,생선까스,튀김류,어패류튀김,200,653.44,24.33,41.1,46.56,1.96,788.62
280,안심돈가스,튀김류,육류튀김,200,651.75,33.28,42.4,34.25,2.77,551.55
281,양념치킨,튀김류,치킨류,200,552,35.5,26.8,42.3,12.5,805.49
282,쥐포튀김,튀김류,어패류튀김,100,356.91,9.62,16.49,42.5,7.96,717.02
283,치즈돈가스,튀김류,육류튀김,250,755.37,42.02,46.69,41.76,3.57,870.77
284,치킨까스,튀김류,치킨류,200,593,27.91,33.92,44.02,4.15,779.27
285,대구포,포류,포류,100,140.84,31.97,0.4,2.33,0,3875.95
286,북어포,포류,포류,20,66.46,15.42,0.39,0.32,0.22,128.99
287,매작과,과자류,한과류,30,123.86,2.25,3.95,19.83,4.93,29.83
288,산자,과자류,한과류,30,109.71,0.69,0.93,24.65,9.4,6.86
289,송화다식,과자류,한과류,30,110.83,2.49,1.34,22.19,8,4.04
290,약과,과자류,한과류,30,119.73,1.26,1.43,25.47,5.07,17.19
291,유과,과자류,한과류,30,127.09,0.84,3.85,22.27,7.24,6.84
292,글램핑 바비큐(오리지널 L),빵류,피자류,157,410,17,-,-,10,744
